symbol,date,price
A,0,143308342
A,1,143308342
A,2,143308342
A,3,143234184
A,4,143234184
A,5,448829003
A,6,441666679
A,7,86766779
A,8,279683467
A,9,26673164
A,10,26660267
A,11,67089167
A,12,22703035
A,13,22743875
A,14,21781973
A,15,20671756
A,16,20717970
A,17,20780306
A,18,23086721
A,19,20754512
A,20,23031908
A,21,20980209
A,22,21098432
A,23,21236000
A,24,21338101
A,25,21432679
A,26,21442352
A,27,21561649
A,28,21966830
A,29,22129118
A,30,22279583
A,31,278594744
A,32,9929622
A,33,137426231
A,34,122390468
A,35,110190972
A,36,255591854
A,37,94694140
A,38,136735166
A,39,78644887
A,40,10633584
A,41,7602786
A,42,240606604
A,43,69277359
A,44,53567727
A,45,70587481
A,46,6963310
A,47,21700292
A,48,5048104
A,49,2392395
A,50,2338657
A,51,2350479
A,52,1920579
A,53,1927028
A,54,1646518
A,55,1808805
A,56,2632064
A,57,2860986
A,58,2831968
A,59,2793277
A,60,2303190
A,61,3064114
A,62,3746581
A,63,3138272
A,64,3145795
A,65,1823852
A,66,6535559
A,67,4642923
A,68,2260200
A,69,2040951
A,70,1943149
A,71,1937775
A,72,1949597
A,73,1451988
A,74,1758292
A,75,1920579
A,76,2418189
A,77,1892636
A,78,2519215
A,79,2469777
A,80,2422488
A,81,2360152
A,82,2327910
A,83,2308564
A,84,2787903
A,85,2174220
A,86,2060297
A,87,2086091
A,88,2033428
A,89,1920579
A,90,1900159
A,91,1455212
A,92,1806656
A,93,1787310
A,94,2518141
A,95,2518141
A,96,2519215
A,97,2469777
A,98,2422488
A,99,2360152
A,100,1635770
A,101,1732498
A,102,2931920
B,0,155518158
B,1,148485804
B,2,144609665
B,3,152164956
B,4,149161155
B,5,144171023
B,6,152166489
B,7,154584073
B,8,156196052
B,9,156819609
B,10,154523901
B,11,154494072
B,12,155648562
B,13,156837841
B,14,152391948
B,15,149849993
B,16,144874247
B,17,151967052
B,18,145536287
B,19,152983692
B,20,155226610
B,21,146225472
B,22,154836633
B,23,153001819
B,24,153503933
B,25,146928686
B,26,150331171
B,27,144747800
B,28,146447238
B,29,145539743
B,30,150705178
B,31,156495927
B,32,151679252
B,33,154955227
B,34,148795454
B,35,148587150
B,36,146144226
B,37,146387604
B,38,155965574
B,39,146733580
B,40,148881226
B,41,154911021
B,42,150019990
B,43,146453786
B,44,149390229
B,45,154300268
B,46,149845999
B,47,149169878
B,48,149620302
B,49,144625475
B,50,144837842
B,51,144201767
B,52,144463424
B,53,144695377
B,54,145961747
B,55,152175193
B,56,145703978
B,57,152719978
B,58,145594032
B,59,149931746
B,60,144595711
B,61,144512642
B,62,149755544
B,63,144138146
B,64,146555164
B,65,150426135
B,66,155721905
B,67,151848689
B,68,149213564
B,69,149593816
B,70,153181178
B,71,146511618
B,72,147251128
B,73,144609260
B,74,146064240
B,75,156858060
B,76,146237392
B,77,153952770
B,78,145473670
B,79,148797173
B,80,152432774
B,81,150629943
B,82,157185236
B,83,152231537
B,84,145782722
B,85,155202550
B,86,155878852
B,87,146881580
B,88,150626562
B,89,157146837
B,90,155342686
B,91,150240657
B,92,144080488
B,93,152007581
B,94,154534957
B,95,156877127
B,96,153610564
B,97,146879622
B,98,154865026
B,99,151290429
B,100,150589121
B,101,152848395
B,102,149998282
C,0,76099937
C,1,74883586
C,2,81501098
C,3,81316125
C,4,84218628
C,5,81335005
C,6,76623059
C,7,75874771
C,8,74771385
C,9,78071293
C,10,84333854
C,11,74856647
C,12,74499888
C,13,85106716
C,14,79905235
C,15,81249735
C,16,81846402
C,17,79860864
C,18,80262844
C,19,74924012
C,20,82813958
C,21,76602436
C,22,84746791
C,23,83353212
C,24,77162591
C,25,76652775
C,26,75045418
C,27,81832442
C,28,78667892
C,29,81494933
C,30,75437687
C,31,79194701
C,32,82199216
C,33,81266858
C,34,84408684
C,35,75521478
C,36,78042452
C,37,83106207
C,38,84160752
C,39,75012915
C,40,74738699
C,41,82738383
C,42,83679440
C,43,78641870
C,44,76678785
C,45,76710248
C,46,86108987
C,47,77351482
C,48,87115487
C,49,78323871
C,50,80636485
C,51,80916145
C,52,84165769
C,53,85588594
C,54,76145251
C,55,82767171
C,56,74288692
C,57,76268676
C,58,83297606
C,59,83139527
C,60,81848561
C,61,83648897
C,62,75158521
C,63,82121805
C,64,83079845
C,65,81220861
C,66,78320033
C,67,77666367
C,68,79492518
C,69,87248518
C,70,83265888
C,71,86818930
C,72,74859310
C,73,80798582
C,74,86241774
C,75,81484726
C,76,82084282
C,77,86064796
C,78,77736404
C,79,79319149
C,80,86601493
C,81,75079314
C,82,87243260
C,83,80194949
C,84,75538128
C,85,84026599
C,86,85229131
C,87,84836283
C,88,79529359
C,89,76373344
C,90,76385504
C,91,83458529
C,92,74429483
C,93,77638787
C,94,82755496
C,95,74540586
C,96,84821688
C,97,85014468
C,98,78622956
C,99,76247427
C,100,76270725
C,101,78434502
C,102,77166071
